Logistic	SVM_LINEAR	NaiveBayes

/*** diTempatPembuanganAkhir ***/
5	9	7	
0	0	1	
4	6	7	
8	1	0	
16	18	13	
7	4	10	
0	2	2	

/*** suaraAneh ***/
1	3	0	
1	0	3	
7	9	4	
4	0	3	
4	5	2	
1	1	3	
0	0	3	

/*** menembusLangit ***/
1	2	3	
0	0	0	
5	3	2	
11	3	11	
9	29	9	
13	2	12	
0	0	2	

/*** liburanBersamaSahabat ***/
5	10	3	
0	0	1	
1	1	2	
12	5	5	
7	7	5	
4	4	12	
2	4	3	

/*** ballerina ***/
2	4	4	
0	0	0	
11	8	6	
3	1	3	
4	11	4	
6	2	7	
0	0	2	

/*** pohonBesar ***/
9	13	2	
0	0	0	
9	10	7	
8	3	6	
13	7	6	
7	9	18	
1	5	8	

/*** mataSebeningKristal ***/
6	8	4	
0	0	4	
17	8	7	
16	4	14	
18	40	16	
10	5	13	
0	2	9	

