Logistic	SVM_LINEAR	NaiveBayes

/*** diTempatPembuanganAkhir ***/
5	6	9	
0	0	0	
4	5	7	
8	6	6	
16	18	12	
7	1	5	
0	4	1	

/*** suaraAneh ***/
1	4	0	
1	0	2	
8	9	8	
4	1	3	
3	4	3	
0	0	1	
1	0	1	

/*** menembusLangit ***/
2	3	2	
0	0	0	
6	2	3	
12	5	17	
7	27	4	
12	2	11	
0	0	2	

/*** liburanBersamaSahabat ***/
5	9	6	
0	0	1	
3	1	3	
10	8	8	
8	8	4	
5	2	5	
0	3	4	

/*** ballerina ***/
1	1	2	
0	0	0	
10	9	10	
4	2	4	
6	13	3	
5	1	6	
0	0	1	

/*** pohonBesar ***/
8	13	1	
0	0	0	
8	9	13	
14	6	9	
7	8	7	
8	7	12	
2	4	5	

/*** mataSebeningKristal ***/
6	5	3	
0	0	2	
19	12	11	
17	14	13	
15	25	19	
10	8	11	
0	3	8	

