Logistic	SVM_LINEAR	NaiveBayes

/*** diTempatPembuanganAkhir ***/
7	6	9	
0	0	5	
3	4	7	
6	6	6	
15	20	12	
8	0	0	
1	4	1	

/*** suaraAneh ***/
1	4	0	
0	0	2	
5	7	8	
6	4	3	
5	3	2	
1	0	1	
0	0	2	

/*** menembusLangit ***/
1	4	2	
0	0	5	
4	2	2	
11	4	17	
9	25	6	
14	4	5	
0	0	2	

/*** liburanBersamaSahabat ***/
5	9	6	
0	0	2	
2	2	0	
11	7	8	
8	8	6	
4	2	5	
1	3	4	

/*** ballerina ***/
1	1	2	
0	0	3	
7	7	5	
6	3	4	
6	13	6	
6	2	5	
0	0	1	

/*** pohonBesar ***/
8	11	0	
0	0	0	
8	9	11	
15	9	7	
5	7	7	
9	7	15	
2	4	7	

/*** mataSebeningKristal ***/
4	6	2	
0	0	4	
13	13	12	
19	12	13	
12	27	19	
18	6	9	
1	3	8	

